Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
The East Wing fka The Havana Room	/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/	Cuban, Italian, Eclectic & International	306 E 76th St New York, NY, 10021
Delimarie	/ny/new-york/355931-delimarie/menu/	Deli Food, Sandwiches	106 Duane St New York, NY, 10007
Morris Grilled Cheese	/ny/new-york/355571-morris-grilled-cheese/menu/	Sandwiches	Location Varies New York, NY, 10022
Sky Room	/ny/new-york/354373-sky-room/menu/	Tapas, Bar Food, Cocktails	330 W 40th St New York, NY, 10018
Villabate	/ny/new-york/354410-villabate/menu/	Desserts	7001 18th Ave New York, NY, 11204
Juice Generation (Greenwich)	/ny/new-york/354954-juice-generation-greenwich/menu/	Sandwiches, Smoothies & Juices, Local/Organic	97 Greenwich Ave New York, NY, 10014
Lucky Strike Lanes	/ny/new-york/352130-lucky-strike-lanes/menu/	American, Bar Food	650 W 42nd St New York, NY, 10036
Rumours	/ny/new-york/352334-rumours/menu/	Irish, Bar Food	933 8th Ave New York, NY, 10019
David's Tea	/ny/new-york/352540-david-s-tea/menu/	Teahouses	1124 3rd Ave New York, NY, 10065
Maiden Lane	/ny/new-york/353102-maiden-lane/menu/	Alcohol, Tapas, Local/Organic	162 Avenue B New York, NY, 10009
United We Stand Deli	/ny/new-york/360048-united-we-stand-deli/menu/	Deli Food, Sandwiches	814 10th Ave New York, NY, 10019
Goloka (5th St)	/ny/new-york/360480-goloka-5th-st/menu/	Smoothies & Juices	325 E 5th St New York, NY, 10003
Argo Tea	/ny/new-york/360503-argo-tea/menu/	Coffee & Tea, Teahouses	75 University Pl New York, NY, 10003
Nolita Mart & Espresso Bar	/ny/new-york/359514-nolita-mart-espresso-bar/menu/	Coffee & Tea	156 Mott St New York, NY, 10013
Comme Ci, Comme Ca	/ny/new-york/359671-comme-ci-comme-ca/menu/	Moroccan, Sandwiches	Location Varies New York, NY, 10022
Taqueria Diana	/ny/new-york/360673-taqueria-diana/menu/	Mexican	129 2nd Ave New York, NY, 10003
Wayside	/ny/new-york/361048-wayside/menu/	Coffee & Tea, Sandwiches, Local/Organic	139 E 12th St New York, NY, 10003
SALUD Soho	/ny/new-york/361013-salud-soho/menu/	Smoothies & Juices, Vegetarian, Healthy, Latin American, Vegan, Local/Organic	107 Thompson St New York, NY, 10012
Mos	/ny/new-york/360951-mos/menu/	Wings, Bar Food	80 Lafayette Ave New York, NY, 11217
Sasha's Coffee	/ny/new-york/358920-sasha-s-coffee/menu/	Coffee & Tea	711 Amsterdam Ave New York, NY, 10025
Andy's Deli	/ny/new-york/358862-andy-s-deli/menu/	Deli Food, Sandwiches, Salads	291 Broadway New York, NY, 10007
Provocateur	/ny/new-york/358572-provocateur/menu/	Sushi, Tapas, Bar Food, Cocktails	18 9th Ave New York, NY, 10014
Nordic Delicacies Inc	/ny/new-york/358848-nordic-delicacies-inc/menu/	Deli Food, Scandinavian	6909 3rd Ave New York, NY, 11209
