Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
1407,cuve,['Nolita Mart & Espresso Bar'],"['fresh seasonal drink', 'raspberry', 'raspberry', 'fresh carrot juice', 'carrot juice', 'carrot juice', 'fashion mask']","['/ny/new-york/374424-spaha-soul/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[1, 1, 1, 1, 1, 1, 1]"
1408,d cheese,['Benvenuto Tribeca'],"['aruba juice', 'ranch dressing', 'classic wings game day', 'ensalada de nopal', 'bacon egg and cheese on a roll']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/477811-atwood/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/']","[3, 3, 2, 2, 1]"
1409,daddys home,['East Side Gourmet Deli'],"['simple french toast', 'mini maryland style crab cakes', 'garlic green beans', 'organic salmon', 'bite me rice']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/478425-monte-carlo/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/']","[7, 2, 2, 2, 2]"
1410,daily detox,['Nourish Kitchen and Table'],"['organic kale  apple salad', 'think bars', 'organic mesclun greens', 'honey turkey sandwich', 'honey turkey sandwich', 'honey turkey sandwich', 'honey turkey sandwich']","['/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[6, 5, 4, 4, 4, 4, 4]"
1411,daily donut,['Cafe Standard'],"['baba au rhum', 'brownie mousse', 'flourless chocolate cake', 'flourless chocolate cake', 'chocolate mousse cake', 'fruit choices']","['/ny/new-york/356523-fp-patisserie/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/354373-sky-room/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[7, 7, 6, 6, 6, 5]"
1412,daily frittata,['Nourish Kitchen and Table'],"['salmon', 'salmon', 'salmon', 'salmon', 'pepper lemon salmon', 'salmone', 'smoked salmon', 'smoked salmon', 'smoked salmon', 'smoked salmon', 'smoked salmon', 'smoked salmon', 'croissant breakfast']","['/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/386430-tio-luca-cocina-vino-bar/menu/', '/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/364180-felice/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/353102-maiden-lane/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/357297-estela/menu/', '/ny/new-york/365758-blu-cafe/menu/']","[9, 9, 9, 9, 9, 9, 8, 8, 8, 8, 8, 8, 7]"
1413,daily iced tea,['Nourish Kitchen and Table'],"['medjool date omelette', 'almond smoothie', 'morning green', 'chocolate milk', 'chocolate milk', 'green tea latte', 'green tea latte']","['/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/365758-blu-cafe/menu/']","[6, 5, 3, 3, 3, 3, 3]"
1414,daily muffin,['Pushcart Coffee'],"['pasticiotti', 'muffins', 'go serene', 'plain pound cake', 'chocolate donut']","['/ny/new-york/354410-villabate/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/360480-goloka-5th-st/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/']","[8, 8, 8, 7, 7]"
1415,daily salad special,"[""America's Finest Deli""]","['spanish wrap', 'green eggs no ham wrap', 'roasted rack of veal', 'lemon herb roasted potatoes', 'chicken plate']","['/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/360673-taqueria-diana/menu/']","[5, 5, 5, 5, 5]"
1416,daily specials,['Rex Coffee'],"['amys pizza', 'grilled eggplant', 'classic bruschetta', 'sundried tomatoes', 'sundried tomatoes', 'spaghetti bolognese lunch']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/337190-da-noi/menu/']","[8, 7, 7, 6, 6, 4]"
1417,daniele,['Houston Village Farm Deli Cafe & Grocery'],"['crispy brussels sprouts', 'brussels sprouts', 'sauteed brussel sprouts', 'brussel sprouts', 'banana peanut butter and salted caramel smoothie']","['/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/378990-1200-miles/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/386418-confessional/menu/', '/ny/new-york/365758-blu-cafe/menu/']","[7, 6, 5, 3, 2]"
1418,daniele sliced,['Yours Wholesome Foods Deli & Grocery'],"['organic hot teas', 'clam', 'veal picatta', 'pan seared scallop', 'kufta with tahini sauce']","['/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/318419-la-bella-vita/menu/', '/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/308682-falafel-on-broadway/menu/']","[3, 2, 2, 1, 1]"
1419,daniele sliced meat  oz,['Yours Wholesome Foods Deli & Grocery'],"['house special meat', 'shrimp with lobster sauce', 'white clam sauce', 'chicken salad sandwich', 'chicken salad sandwich', 'chicken salad sandwich', 'chicken salad sandwich', 'chicken salad sandwich', 'clam']","['/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/250047-dining-room-management-group/menu/']","[5, 5, 4, 4, 4, 4, 4, 4, 3]"
1420,danish,"['Benvenuto Tribeca', 'United We Stand Deli', 'Macchiato Espresso Bar', ""America's Finest Deli""]","['red bliss potato salad', 'danish blue cheese', 'pear', 'fresh fruit basket', 'whole crispy mushroom']","['/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/477580-upland/menu/']","[3, 2, 2, 1, 1]"
1421,danish blue cheese,['Nordic Delicacies Inc'],"['sriracha hot chili sauce', 'omelet', 'estrella', 'classic alfredo pasta', 'carbonara sauce pasta']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/378993-cafe-standard/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[7, 3, 3, 3, 3]"
1422,danish pastry,['Delimarie'],"['lady gaga roll', 'lady gaga roll', 'pie pie', 'taco salad bowl', 'bowl of berries brunch', 'two eggs with sausage on a roll']","['/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/314859-pie-pie-pizza/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/']","[10, 10, 10, 10, 10, 10]"
1423,dannon activia,['Houston Village Farm Deli Cafe & Grocery'],"['homemade waffles', 'cape cod', 'or sheet', 'swedish lingonberry syrup', 'frozen fruit bars']","['/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[8, 7, 7, 7, 7]"
1424,dark chocolate terrine,['1200 Miles'],"['shaving cream', 'flourless chocolate cake', 'flourless chocolate cake', 'chocolate milk', 'chocolate milk', 'chocolate mousse cake', 'chocolate covered strawberries', 'chocolate covered strawberries']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/354373-sky-room/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[8, 8, 8, 7, 7, 6, 6, 6]"
1425,date cookie,['Cafe Nadery'],"['oatmeal taste cookies', 'craquelin', 'nutty by nature', 'jumbo cookies', 'jumbo cookies', 'oat cranberry scone']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/356523-fp-patisserie/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/366185-pushcart-coffee/menu/']","[9, 9, 9, 9, 9, 9]"
1426,david sunflower seeds,['Yours Wholesome Foods Deli & Grocery'],"['davids sunflower seeds', 'samosa sandwich', 'pecan pie', 'pecan pie', 'side sushi rice', 'chex mix snack mix  oz']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 9, 6, 6, 3, 3]"
1427,davids sunflower seeds,['Houston Village Farm Deli Cafe & Grocery'],"['davids sunflower seeds', 'samosa sandwich', 'pecan pie', 'pecan pie', 'side sushi rice', 'chex mix snack mix  oz']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 9, 6, 6, 3, 3]"
1428,day candles,['Houston Village Farm Deli Cafe & Grocery'],"['sweet potato fries', 'sweet potato fries', 'sunday morning wrap', 'spinach mashed potato', 'homemade waffles', 'oz canned soda']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/']","[7, 7, 6, 5, 5, 5]"
1429,de cecco,['Houston Village Farm Deli Cafe & Grocery'],"['kraft macaroni and cheese', 'cheese pizza', 'custom hot pastas', 'extra marinara sauce', 'gnocchi pesto with mussels']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/314859-pie-pie-pizza/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/318419-la-bella-vita/menu/']","[4, 4, 4, 4, 3]"
1430,dead sea salad,"[""Manny's Gourmet""]","['homemade hummus dip', 'sabra hummus', 'sabra hummus  oz', 'falafel  v', 'baba ghanoush']","['/ny/new-york/361048-wayside/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/437106-mazeish/menu/', '/ny/new-york/437106-mazeish/menu/']","[9, 9, 9, 9, 4]"
1431,decadence,['FP Patisserie'],"['liniments', 'walnut brownie', 'chocolate donut', 'house deluxe', 'chocolate chip pancakes short stack']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/361048-wayside/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[10, 10, 10, 10, 9]"
1432,decadent chocolate,['Dessert Delivery'],"['double chocolate chip taste cookies', 'double chocolate brownie bites', 'hot milk', 'house deluxe', 'cookie shooters']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/']","[9, 9, 9, 8, 8]"
1433,decaf coffee,"[""Fluffy's Café & Pizzeria."", 'FP Patisserie', 'Bagel Boss', 'Arome Cafe']","['steam red bean cake', 'flourless chocolate cake', 'flourless chocolate cake', 'chocolate mousse cake', 'whole bean coffee', 'tide to go']","['/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/354373-sky-room/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/358920-sasha-s-coffee/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[5, 5, 5, 5, 4, 4]"
1434,decaf hazelnut coffee,['Arome Cafe'],"['hersheys cocoa unsweetened oz', 'brownie mousse', 'julia chop', 'green tea bubble tea', 'cadbury dairy milk']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/374424-spaha-soul/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[6, 5, 5, 4, 4]"
1435,dececco spaghetti,"[""America's Finest Deli""]","['spaghetti with sauce specialty dish', 'spaghetti specialty dish', 'carbonara sauce peas and prosciutto', 'bacon', 'bacon', 'bacon', 'bacon', 'bacon', 'bacon', 'bacon', 'bacon', 'spaghetti alla carbonara', 'spaghetti alla carbonara']","['/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/353102-maiden-lane/menu/', '/ny/new-york/355571-morris-grilled-cheese/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/364180-felice/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/378993-cafe-standard/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/356687-ciccio/menu/', '/ny/new-york/364180-felice/menu/']","[9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
1436,deep fried chicken,['Dining Room Management Group'],"['lava chicken', 'marinated dried bean curd', 'chicken fried rice', 'chicken fried rice', 'chicken fried rice', 'chicken fried rice', 'eggs on bread', 'soy sauce bean curd and egg']","['/ny/new-york/373668-at-nine/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/141126-cc-s-cafe/menu/', '/ny/new-york/250047-dining-room-management-group/menu/']","[8, 8, 3, 3, 3, 3, 2, 2]"
1437,deep fried dough,['Dining Room Management Group'],"['side brown rice', 'golden egg fried rice', 'homemade iced tea', 'back to nature cookies', 'forbidden fruit']","['/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/358572-provocateur/menu/']","[10, 10, 10, 8, 8]"
1438,deep fried fresh oyster,['Hop Lee Restaurant'],"['scallops with black bean  peppers', 'homemade waffles', 'custom stir fry', 'pepper mill turkey', 'lychee chicken']","['/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/']","[6, 4, 4, 3, 3]"
1439,deep fried frog,['Dining Room Management Group'],"['frog', 'powerful yogurt', 'fried chicken wings', 'spicy fried chicken', 'grilled red snapper']","['/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[10, 7, 6, 5, 5]"
1440,deep purple cow,"[""Emack & Bolio's""]","['haagen dazs pints', 'ice', 'ice cream', 'ice cream', 'ice cream', 'house coffee', 'iced flavor coffee']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[9, 9, 9, 9, 9, 9, 9]"
1441,del monte fruits,['Houston Village Farm Deli Cafe & Grocery'],"['brown cow', 'clif bar', 'clif bar', 'clif bar', 'strawberry and banana smoothie', 'banana nutella muffin', 'buffet service']","['/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/378993-cafe-standard/menu/', '/ny/new-york/355931-delimarie/menu/']","[9, 7, 7, 7, 6, 6, 5]"
1442,del monte pineapple,"[""America's Finest Deli""]","['stuffed cabbage', 'brownie sundae', 'brownie sundae', 'elvis', 'ice', 'ice cream', 'ice cream', 'ice cream']","['/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/357760-cafe-nadery/menu/']","[6, 1, 1, 1, 1, 1, 1, 1]"
1443,del monte vegetables,['Houston Village Farm Deli Cafe & Grocery'],"['piece hot wings', 'chicken satay skewers', 'chicken satay skewers', 'sliced flank steak', 'sauteed okra', 'romaine lettuce', 'romaine lettuce']","['/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/378990-1200-miles/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[9, 8, 8, 6, 6, 4, 4]"
1444,delallo olives,['Houston Village Farm Deli Cafe & Grocery'],"['c homemade mozzarella sandwich', 'lemon parmesan roasted cauliflower', 'provolone cheese sandwich', 'grilled cheese sandwich with turkey', 'chicken mozzarella']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/360670-b4/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/352334-rumours/menu/']","[2, 2, 2, 2, 1]"
1445,deli deluxe,['Delimarie'],"['deli deluxe', 'yellow american cheese', 'kaiser rolls', 'bacon cheese burger deluxe', 'arnold slice breads']","['/ny/new-york/355931-delimarie/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 7, 7, 5, 4]"
1446,deli roast,['Delimarie'],"['lb roast beef', 'roast beef with horseradish sauce sandwich', 'lb corned beef', 'potatoes au gratin', 'potatoes au gratin', 'open face roast beef']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[10, 6, 5, 4, 4, 4]"
1447,delicata squash,['Cafe Clover'],"['lifesavers', 'bucatini cacio e pepe', 'ricotta dumplings', 'lord of rings', 'salty lemon up']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/357297-estela/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/250047-dining-room-management-group/menu/']","[8, 6, 5, 1, 1]"
1448,delicate cheese,['Morris Grilled Cheese'],"['progresso bread crumbs oz', 'roasted artichoke', 'black linguine', 'french dijon', 'vegetable lasagna tray']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/378990-1200-miles/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/368500-bagel-boss/menu/']","[2, 2, 1, 1, 1]"
1449,delicious crab,['Dining Room Management Group'],"['shrimp cocktail', 'shrimp cocktail', 'sauteed kale', 'age dashi tofu', 'go fresh', 'carrots', 'carrots', 'carrots']","['/ny/new-york/352334-rumours/menu/', '/ny/new-york/478425-monte-carlo/menu/', '/ny/new-york/386430-tio-luca-cocina-vino-bar/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/360480-goloka-5th-st/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/365034-hibachi-heaven/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[5, 5, 4, 3, 3, 3, 3, 3]"
1450,delightful panini,"[""Manny's Gourmet"", ""America's Finest Deli""]","['scrumptious pastries', 'gouda', 'heaven', 'back to nature granola', 'international delight creamer  oz']","['/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/355571-morris-grilled-cheese/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[2, 1, 1, 1, 1]"
1451,delirium tremens,['124 Old Rabbit Club'],"['small butter cookies', 'oreo cake', 'cream cheese', 'cream cheese', 'cream cheese', 'cream cheese', 'spam', 'spam', 'junior club']","['/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/355931-delimarie/menu/']","[8, 7, 7, 7, 7, 7, 6, 6, 6]"
1452,deluxe,['East Side Gourmet Deli'],"['deli deluxe', 'yellow american cheese', 'kaiser rolls', 'bacon cheese burger deluxe', 'arnold slice breads']","['/ny/new-york/355931-delimarie/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 7, 7, 5, 4]"
1453,dentyne gum,['Houston Village Farm Deli Cafe & Grocery'],"['dentyne gum', 'large cookies', 'italiano panini', 'italiano panini', 'italiano panini', 'twist chocolate bags  small', 'kimchee']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/334552-ippin/menu/']","[10, 2, 1, 1, 1, 1, 1]"
1454,dentyne ice,"['Yours Wholesome Foods Deli & Grocery', 'Arome Cafe']","['dentyne gum', 'large cookies', 'italiano panini', 'italiano panini', 'italiano panini', 'twist chocolate bags  small', 'kimchee']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/334552-ippin/menu/']","[10, 2, 1, 1, 1, 1, 1]"
1455,deodorant,['Yours Wholesome Foods Deli & Grocery'],"['deodorants', 'coconut doughnuts', 'liquid soaps', 'oz zico coconut water', 'coconut shrimp', 'coconut shrimp', 'coconut shrimp']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/381300-north-river/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/']","[10, 9, 9, 8, 8, 8, 8]"
1456,deodorants,['Houston Village Farm Deli Cafe & Grocery'],"['deodorants', 'coconut doughnuts', 'liquid soaps', 'oz zico coconut water', 'coconut shrimp', 'coconut shrimp', 'coconut shrimp']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/381300-north-river/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/']","[10, 9, 9, 8, 8, 8, 8]"
