Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
11, turkey club,['Yours Wholesome Foods Deli & Grocery'],"['turkey club', 'turkey club sandwich', 'turkey club sandwich', 'turkey club signature sandwich', 'club special sandwich', 'egg salad sandwich', 'egg salad sandwich', 'egg salad sandwich', 'egg salad sandwich', 'egg salad sandwich', 'egg salad sandwich']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 10, 10, 9, 9, 8, 8, 8, 8, 8, 8]"
12, turkey orange wrap,['Yours Wholesome Foods Deli & Grocery'],"['toss salad', 'lb pepper turkey', 'chipotle shrimp and cabbage slaw', 'pepper turkey pepper jack', 'southwest hatch chile pork']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/358904-culture-fix/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/333734-chopt-creative-salad-co/menu/']","[7, 5, 4, 4, 4]"
13, turkey ranch sandwich,['Yours Wholesome Foods Deli & Grocery'],"['chicken breast cheddar cheese sandwich', 'grilled cheese sandwich with turkey and fries', 'smoked turkey club panini', 'turkey club panini', 'green turkey sandwich']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/318476-q-n-foods/menu/']","[8, 8, 6, 6, 4]"
14, tuscan sandwich,['Yours Wholesome Foods Deli & Grocery'],"['small greek salad', 'herb tea', 'feta cheese', 'feta cheese', 'feta cheese', 'green peas', 'green peas', 'creamy italian dressing']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/']","[4, 3, 2, 2, 2, 2, 2, 2]"
15,a crudite and dip basket,['Benvenuto Tribeca'],"['extra oil and vinegar dressing', 'kale avocado salad', 'chicken with broccoli', 'caldo de pollo', 'cole slaw', 'cole slaw', 'cole slaw']","['/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/368500-bagel-boss/menu/']","[6, 5, 5, 4, 4, 4, 4]"
16,a day in provence,['Cafe Nadery'],"['veri veri teriyaki marinade oz', 'halfgallon milk', 'swiss cheese omelet', 'new england clam chowder', 'seafood ceviche']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/335043-ageha-sushi/menu/']","[1, 1, 1, 1, 1]"
17,a la parrilla,['Mexican Festival Restaurant'],"['mushrooms omelet', 'lemon water', 'chicken francaise', 'chicken francaise', 'lemon chicken over basmati rice', 'shrimp empanada']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/359671-comme-ci-comme-ca/menu/', '/ny/new-york/386430-tio-luca-cocina-vino-bar/menu/']","[10, 9, 7, 7, 7, 6]"
18,a lemon grilled chicken avocado sandwich,"[""America's Finest Deli""]","['spinach egg white salad', 'walnuts', 'falafel pita', 'veggie white wrap', 'garlic chips']","['/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/361473-fahima-halal/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[6, 5, 5, 5, 5]"
19,a steak sauce,"[""America's Finest Deli""]","['apple hot sauce', 'caf latino', 'hot sauce', 'hot sauce', 'russian dressing', 'joes tea oz']","['/ny/new-york/362949-gogo-grill/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[9, 8, 8, 8, 8, 8]"
20,a taste of thai coconut milk oz cans,['Yours Wholesome Foods Deli & Grocery'],"['jasmine rice', 'rice and beans plate', 'green curry', 'braised mushroom  veg', 'salted fish chicken and eggplant']","['/ny/new-york/373668-at-nine/menu/', '/ny/new-york/360673-taqueria-diana/menu/', '/ny/new-york/373668-at-nine/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/250047-dining-room-management-group/menu/']","[6, 6, 5, 5, 5]"
21,a vegetarian sandwich,['Q & N Foods'],"['a vegetarian sandwich', 'baba ghanoush', 'steak  avocado salad', 'sea bass', 'greek style wraps']","['/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/437106-mazeish/menu/', '/ny/new-york/314788-casa-loca/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[10, 2, 1, 1, 1]"
22,abalone,['Hop Lee Restaurant'],"['braised pork belly rice bowl', 'lb chicken breast', 'vegetarian', 'moo goo gai pan', 'homemade shumai']","['/ny/new-york/342726-sakamai/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/354373-sky-room/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/']","[6, 6, 6, 6, 5]"
23,abalone and chicken porridge,['Dining Room Management Group'],"['vegetable tofu soup', 'vegetable tofu soup', 'asparagus salad', 'ricottanectarine toast', 'rice pudding', 'rice pudding', 'brussel sprouts']","['/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/386418-confessional/menu/']","[5, 5, 5, 5, 4, 4, 4]"
24,abc juice,['Bagel Boss'],"['grilled eggplant', 'chicken limone', 'pasta alla vodka', 'baked ziti', 'spaghetti bolognese lunch']","['/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/318419-la-bella-vita/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/337190-da-noi/menu/']","[9, 9, 9, 9, 8]"
25,adobo chicken,"[""Fluffy's Café & Pizzeria.""]","['chipotle wings', 'chipotle chicken quesadilla', 'chicken and mushroom quesadilla', 'mexican quesadilla', 'side of crema']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/360673-taqueria-diana/menu/']","[9, 8, 8, 8, 7]"
