name	menu_link	type	address	lon	lat	is_location_valid
Imperial Pizzeria	/ny/new-york/302273-imperial-pizzeria/menu/	Italian, Pizza, Vegetarian	913 Columbus Ave New York, NY, 10025	-73.9633365	40.7982961	true
Falafel on Broadway	/ny/new-york/308682-falafel-on-broadway/menu/	Middle Eastern	3151 Broadway Ave New York, NY, 10027	-76.1944938	42.5943831	true
Falafel on Broadway	/ny/new-york/308682-falafel-on-broadway/menu/	Middle Eastern	3151 Broadway Ave New York, NY, 10027	-76.1944938	42.5943831	true
Casa Loca	/ny/new-york/314788-casa-loca/menu/	Mexican, Vegetarian	171A Avenue A New York, NY, 10009	-73.98203325	40.728282	true
Pie Pie Pizza	/ny/new-york/314859-pie-pie-pizza/menu/	Pizza	1593 St Nicholas Ave New York, NY, 10040	-73.9300152	40.8547185	true
Fluffy's Caf̩ & Pizzeria.	/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/	Deli Food, Sandwiches	370 W 58th St New York, NY, 10019	-73.9850979	40.7684178	true
Manny's Gourmet	/ny/new-york/316262-manny-s-gourmet/menu/	Deli Food, Sandwiches	27 St James Pl New York, NY, 10038	-73.9993673	40.7119244	true
La Bella Vita	/ny/new-york/318419-la-bella-vita/menu/	Italian	163 Mulberry St New York, NY, 10013	-73.99739196862089	40.7197765	true
Q & N Foods	/ny/new-york/318476-q-n-foods/menu/	Deli Food, Sandwiches	107 E 125th St New York, NY, 10035	-73.93832018420156	40.805065049999996	true
FP Patisserie	/ny/new-york/356523-fp-patisserie/menu/	Coffee & Tea, Desserts	1 W 58th St New York, NY, 10019	-73.9853107	40.7687711	true
The East Wing fka The Havana Room	/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/	Cuban, Italian, Eclectic & International	306 E 76th St New York, NY, 10021	-73.95627103448275	40.77120572413793	true
Delimarie	/ny/new-york/355931-delimarie/menu/	Deli Food, Sandwiches	106 Duane St New York, NY, 10007	-74.00636466835576	40.7154192	true
Morris Grilled Cheese	/ny/new-york/355571-morris-grilled-cheese/menu/	Sandwiches	Location Varies New York, NY, 10022	0	0	false
Sky Room	/ny/new-york/354373-sky-room/menu/	Tapas, Bar Food, Cocktails	330 W 40th St New York, NY, 10018	-73.99252248791056	40.756460149999995	true
Villabate	/ny/new-york/354410-villabate/menu/	Desserts	7001 18th Ave New York, NY, 11204	-73.9930272	40.6160862	true
Juice Generation (Greenwich)	/ny/new-york/354954-juice-generation-greenwich/menu/	Sandwiches, Smoothies & Juices, Local/Organic	97 Greenwich Ave New York, NY, 10014	-74.0018678	40.7375594	true
Lucky Strike Lanes	/ny/new-york/352130-lucky-strike-lanes/menu/	American, Bar Food	650 W 42nd St New York, NY, 10036	-73.9998236	40.761363200000005	true
Rumours	/ny/new-york/352334-rumours/menu/	Irish, Bar Food	933 8th Ave New York, NY, 10019	-73.98397475876206	40.765695050000005	true
David's Tea	/ny/new-york/352540-david-s-tea/menu/	Teahouses	1124 3rd Ave New York, NY, 10065	-73.9637820026696	40.76584715	true
Maiden Lane	/ny/new-york/353102-maiden-lane/menu/	Alcohol, Tapas, Local/Organic	162 Avenue B New York, NY, 10009	-73.9798625	40.7271258	true
United We Stand Deli	/ny/new-york/360048-united-we-stand-deli/menu/	Deli Food, Sandwiches	814 10th Ave New York, NY, 10019	-73.98946846781905	40.76724565	true
Goloka (5th St)	/ny/new-york/360480-goloka-5th-st/menu/	Smoothies & Juices	325 E 5th St New York, NY, 10003	-73.98772930281672	40.72648535	true
Argo Tea	/ny/new-york/360503-argo-tea/menu/	Coffee & Tea, Teahouses	75 University Pl New York, NY, 10003	-73.9932878	40.7331087	true
